match_id,date,season,venue,city,team1,team2,toss_winner,toss_decision,winner,result_type,result_margin,player_of_match
1426261,2024-04-09,2024,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,runs,2.0,Nithish Kumar Reddy
1359507,2023-04-23,2023,Eden Gardens,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,49.0,AM Rahane
392217,2009-05-09,2009,De Beers Diamond Oval,Kimberley,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,S Badrinath
1254112,2021-10-02,2021,Sharjah Cricket Stadium,Sharjah,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,AR Patel
829817,2015-05-19,2015,Wankhede Stadium,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,25.0,KA Pollard
336022,2008-05-17,2007,Feroz Shah Kotla,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,runs,6.0,DPMD Jayawardene
501258,2011-05-15,2011,Holkar Cricket Stadium,Indore,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,wickets,8.0,BJ Hodge
548372,2012-05-17,2012,Feroz Shah Kotla,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,field,Royal Challengers Bengaluru,runs,21.0,CH Gayle
1175358,2019-03-24,2019,Wankhede Stadium,Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,RR Pant
1304086,2022-04-27,2022,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5.0,Umran Malik
980919,2016-04-17,2016,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Punjab Kings,Rising Pune Supergiants,Rising Pune Supergiants,bat,Punjab Kings,wickets,6.0,M Vohra
1304069,2022-04-13,2022,Maharashtra Cricket Association Stadium,Pune,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,12.0,MA Agarwal
335989,2008-04-23,2007,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,ML Hayden
729297,2014-04-23,2014,Dubai International Cricket Stadium,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,runs,7.0,RA Jadeja
1473446,2025-03-29,2025,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,36.0,M Prasidh Krishna
392186,2009-04-21,2009,Kingsmead,Durban,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,11.0,CH Gayle
548325,2012-04-16,2012,Wankhede Stadium,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,S Nadeem
1473503,2025-05-23,2025,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,42.0,Ishan Kishan
1304090,2022-04-30,2022,Dr DY Patil Sports Academy,Navi Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,SA Yadav
729281,2014-04-17,2014,Sharjah Cricket Stadium,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,8.0,YS Chahal
392190,2009-04-23,2009,Newlands,Cape Town,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,,tie,,YK Pathan
1473450,2025-04-01,2025,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,8.0,P Simran Singh
501219,2011-04-20,2011,Eden Gardens,Kolkata,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Kochi Tuskers Kerala,runs,6.0,DPMD Jayawardene
829769,2015-05-01,2015,Wankhede Stadium,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,runs,8.0,AT Rayudu
548333,2012-04-21,2012,Feroz Shah Kotla,Delhi,Delhi Capitals,Pune Warriors,Delhi Capitals,field,Pune Warriors,runs,20.0,SC Ganguly
392201,2009-04-30,2009,SuperSport Park,Centurion,Deccan Chargers,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,DP Nannes
1359511,2023-04-27,2023,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,32.0,YBK Jaiswal
1426277,2024-04-23,2024,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6.0,MP Stoinis
829801,2015-05-12,2015,Shaheed Veer Narayan Singh International Stadium,Raipur,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Delhi Capitals,wickets,6.0,Z Khan
1426298,2024-05-11,2024,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,18.0,CV Varun
1254104,2021-09-19,2021,Dubai International Cricket Stadium,Dubai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,20.0,RD Gaikwad
336034,2008-05-03,2007,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bengaluru,runs,3.0,P Kumar
548364,2012-05-12,2012,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,wickets,9.0,BW Hilfenhaus
980923,2016-04-18,2016,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,7.0,DA Warner
1304053,2022-03-31,2022,Brabourne Stadium,Mumbai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6.0,E Lewis
1529274,2026-04-21,2026,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,47.0,Abhishek Sharma
1178415,2019-04-22,2019,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,RR Pant
729307,2014-04-26,2014,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,runs,23.0,Sandeep Sharma
1175362,2019-03-28,2019,M Chinnaswamy Stadium,Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Mumbai Indians,runs,6.0,JJ Bumrah
1082591,2017-04-05,2017,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,35.0,Yuvraj Singh
1304116,2022-05-22,2022,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,wickets,5.0,Harpreet Brar
598007,2013-04-10,2013,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,10.0,MEK Hussey
1216530,2020-11-01,2020,Dubai International Cricket Stadium,,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60.0,PJ Cummins
1473493,2025-05-06,2025,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,3.0,Shubman Gill
1136583,2018-04-24,2018,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,runs,31.0,Rashid Khan
829745,2015-04-22,2015,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Chennai Super Kings,runs,27.0,SK Raina
501235,2011-05-01,2011,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Pune Warriors,Rajasthan Royals,field,Rajasthan Royals,wickets,6.0,LRPL Taylor
419137,2010-04-03,2009,MA Chidambaram Stadium,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,23.0,M Vijay
1359478,2023-04-02,2023,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,72.0,JC Buttler
1254082,2021-04-29,2021,Narendra Modi Stadium,Ahmedabad,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,PP Shaw
1136612,2018-05-18,2018,Arun Jaitley Stadium,Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,34.0,HV Patel
1527682,2026-04-04,2026,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Rajasthan Royals,runs,6.0,Ravi Bishnoi
1359497,2023-04-16,2023,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,SO Hetmyer
1422131,2024-03-31,2024,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,runs,20.0,KK Ahmed
548348,2012-05-01,2012,Barabati Stadium,Cuttack,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,runs,13.0,KC Sangakkara
598050,2013-05-07,2013,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,runs,65.0,SR Tendulkar
419160,2010-04-18,2009,Feroz Shah Kotla,Delhi,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,11.0,A Symonds
336018,2008-05-14,2007,Wankhede Stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,9.0,ST Jayasuriya
1082600,2017-04-12,2017,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,wickets,4.0,JJ Bumrah
501262,2011-05-19,2011,Dr DY Patil Sports Academy,Mumbai,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,YK Pathan
1136604,2018-05-12,2018,Holkar Cricket Stadium,Indore,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,runs,31.0,SP Narine
1370353,2023-05-29,2023,Narendra Modi Stadium,Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,DP Conway
1254094,2021-10-07,2021,Dubai International Cricket Stadium,Dubai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,KL Rahul
1359481,2023-04-04,2023,Arun Jaitley Stadium,Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,B Sai Sudharsan
597999,2013-04-04,2013,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,runs,2.0,CH Gayle
598046,2013-05-05,2013,Wankhede Stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,60.0,MG Johnson
1422127,2024-03-28,2024,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,12.0,R Parag
1312200,2022-05-29,2022,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,wickets,7.0,HH Pandya
1082616,2017-04-23,2017,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,runs,26.0,HM Amla
729311,2014-04-27,2014,Sharjah Cricket Stadium,,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,5.0,DR Smith
